number,weight,nonce,hash,fee_reward,total_transactions
591355,3992909,3388175848,23,3636,2486
591356,3993342,1253901975,23,1240,1157
591357,3993237,3500794029,21,6522,2641
591358,3993292,1165221240,21,4215,3071
591359,3993331,2536101258,19,4045,2160
591360,3993364,813090705,20,4646,2938
591361,3993140,226101869,20,1648,2760
591362,1184,2971575390,20,0,1
591363,3993202,2666097476,21,1214,2828
591364,3993074,3211663075,21,1619,2389
591365,3993552,1753034380,20,4061,2494
591366,3993486,674360384,24,1035,2550
591367,1037893,3938737314,24,583,824
591368,1780512,1237109976,22,1375,1224
591369,3750573,3380445150,22,2423,2873
591370,901362,2563101258,24,708,734
591371,2268040,2762714428,24,1398,1582
591372,2369674,2499441068,23,1773,1859
591373,3992791,1760293542,22,3731,2711
591374,3993183,2638493368,24,3915,2944
591375,3993224,3704865532,22,4321,2568
591376,3921201,4083169201,21,264,2774
591377,3992804,1332332384,22,4099,2862
591378,2598264,2269015039,22,569,1831
591379,3992989,1397509488,21,3806,3004
591380,2323565,2323684446,23,983,1757
591381,3993131,4179438179,23,8337,1423
591382,3993553,3440540252,21,4317,1886
591383,3993310,943255566,23,5688,2935
591384,3993092,4037218350,26,2403,1956
591385,3993127,3714813853,22,2601,774
591386,3993571,814212205,20,6656,2747
591387,3993457,3648060112,21,6048,3018
591388,3993395,2816269225,21,5147,1800
591389,3993547,158769672,23,5326,3139
591390,3993059,116132421,22,5434,2890
591391,3992569,2159327625,24,3091,2095
591392,3993245,3423149472,22,3892,2727
591393,3993397,1588408227,24,3059,2646
591394,3993177,1365383582,23,2601,2814
591395,3998516,2943154023,24,2801,2637
591396,3992997,1725040409,21,4840,2437
591397,3993332,359924399,21,3709,2883
591398,3993290,3539387802,20,6524,2979
591399,3993222,1982601829,21,2138,3065
591400,3993513,1156415620,23,5476,2782
591401,3993496,1395794461,21,1699,2465
591402,3993277,1138224861,21,2401,1820
591403,3993210,271592139,20,3072,2449
591404,3993398,311781288,22,1983,1490
591405,3993376,3391560334,23,5131,3059
591406,3993045,3265545503,23,3090,2695
591407,3992697,2700374876,20,4945,2783
591408,3992818,1189618900,20,5415,2985
591409,3993370,941176616,24,3470,2892
591410,3993412,2743387700,25,2436,2987
591411,3992747,3861263760,25,1478,990
591412,3993234,2071066386,21,4148,2657
591413,3993493,1750663168,20,2313,2445
591414,3993211,26675685,23,3144,2973
591415,3998644,1674679120,21,2381,1824
591416,3993376,2836723795,24,993,1427
591417,3998593,1903621754,25,1204,2001
591418,3998520,2615469384,26,1940,2468
591419,3993246,2615513205,22,813,1585
591420,3993488,993374491,21,2883,2797
591421,2318519,3548658257,20,585,1579
591422,328113,1464361646,23,290,203
591423,3094324,1871471192,23,1999,2229
591424,2380380,4040369240,20,1605,1838
591425,3922875,970018149,25,2225,2822
591426,503365,2715661828,23,425,399
591427,2808818,312075452,25,1487,2151
591428,3840248,4215512470,22,2057,2887
591429,2441041,1169844186,22,1537,1791
591430,594410,3342360604,23,331,533
591431,2430777,110790165,24,1310,1790
591432,2813121,2511862801,21,1665,2069
591433,3992980,3569834437,20,2896,2381
591434,2508248,1811870369,22,923,1410
591435,3189785,1163628240,23,1946,2624
591436,3645061,36546129,23,2180,2623
591437,1433209,1061186564,30,749,1130
591438,2871905,3766475981,26,1524,2135
591439,3993177,3024125834,20,4328,3257
591440,3993187,3428405301,21,1738,2827
591441,3993463,2419621319,21,2414,2406
591442,3993429,2611587803,20,1715,3074
591443,3271871,1646640961,23,1160,2344
591444,1320196,4076679428,21,627,838
591445,1843407,3929480331,22,853,1345
591446,3998638,2160741154,20,4122,2788
591447,3998647,252516952,21,955,2707
591448,3992948,725251932,21,3793,3571
591449,3998678,3459491280,24,1818,3099
591450,3992880,2154814557,23,1491,3240
591451,1485695,695076249,22,989,1199
591452,3992730,1840549981,26,2749,2890
591453,3993314,915071497,21,2500,3125
591454,3993006,992070020,23,2216,1456
591455,3992976,3101876221,26,1147,3039
591456,3993328,3404046544,23,2408,3111
591457,1036141,2329587425,22,67,612
591458,3992961,2432501541,25,3165,3249
591459,3993387,3493355659,22,4047,3317
591460,3993105,409996823,21,2774,1952
591461,1148,288227905,20,0,1
591462,3993281,656442740,19,631,2205
591463,780110,3104738641,24,102,691
591464,3776214,2299050294,20,2086,2995
591465,3993216,2321303221,22,2016,1251
591466,2718331,2025697798,23,1419,2159
591467,2549004,3980130868,21,1672,1853
591468,136649,272446391,20,128,96
591469,3993582,1517935279,21,3183,2615
591470,3998722,863212239,24,2264,2123
591471,3678575,46906440,22,2032,1919
591472,2544920,2656840711,23,1587,1877
591473,3294290,1852613640,23,2598,2321
591474,3993314,2717759964,22,4085,2317
591475,3993406,1455423893,24,5588,2660
591476,3993344,3632983604,22,2740,2274
591477,3993415,2093924709,21,712,1499
591478,1649713,2221806690,22,431,1167
591479,3195562,892732896,21,1661,1399
591480,3993480,763465604,22,4257,2885
591481,3993071,1096486960,25,1808,1973
591482,3998582,603470403,21,2252,3110
591483,3737805,2046997287,23,2223,2863
591484,3993280,3003652233,23,3440,3101
591485,3135019,246426832,21,1105,2150
591486,3992737,2870192417,21,2463,2965
591487,1228154,1274659267,21,479,629
591488,791081,3053117456,21,590,676
591489,3726834,4017523043,21,1313,1526
591490,3672613,1115719440,22,1288,1442
591491,3464570,3350412426,21,1573,2327
591492,3993071,1663915507,24,3143,2324
591493,3664918,1642172217,21,1227,2143
591494,591577,2517398552,21,392,457
591495,3312737,1706160971,24,1798,1682
591496,3573711,426448909,21,2101,2732
591497,811459,3628875329,20,624,608
591498,3211695,1244331480,24,1608,2283
591499,3605616,3479602045,20,2277,2729
591500,208096,69942589,22,161,168
591501,95426,3008189060,22,304,59
591502,3993156,984937956,24,2392,2718
591503,3993371,4166618793,21,5488,3095
591504,3993319,1791423313,24,1665,2580
591505,3993261,448587421,20,4359,2673
591506,3993233,707250816,24,761,2002
591507,3992860,2672947704,24,3701,2715
591508,3993343,2577273345,20,664,453
591509,3993368,1993404240,21,2897,2227
591510,3993223,1939198421,21,671,356
591511,3993367,2879551904,21,997,2104
591512,3893106,1356630119,26,1597,2390
591513,3993104,325864012,23,2352,2868
591514,985786,131688600,22,315,825
591515,403041,2333432266,21,299,294
591516,3993392,3232907443,24,2336,2868
591517,473062,1834768702,21,78,275
591518,1222247,2824639043,24,803,881
591519,2335330,1089958076,21,1260,1672
591520,1105169,3332977890,21,719,719
591521,3993060,135870349,23,2365,2992
591522,1588728,1003187348,23,933,1235
591523,3992911,345549161,23,2538,2986
591524,2329307,661670416,19,1403,1785
591525,2366085,2154506321,23,1561,967
591526,213837,20138234,21,125,156
591527,1251253,3923434944,21,683,899
591528,1164248,2160411271,22,585,738
591529,3993329,2358026934,21,4597,3180
591530,3993170,2867820588,24,416,2788
591531,2721201,2866947996,23,1412,1967
591532,3998543,2299945476,25,5605,3113
591533,3993369,1711629476,23,1878,2334
591534,3993345,3445995014,22,4503,3096
591535,3993018,3521492261,22,1708,2029
591536,3993005,147007158,24,1059,2681
591537,3993188,3959634181,23,1774,2988
591538,3998745,2414599229,22,2519,3175
591539,2683279,1747479864,23,522,1224
591540,3993035,592648132,24,3216,3108
591541,3993488,1958404256,22,7258,1286
591542,3993179,2066398183,22,5033,1890
591543,3993584,1157558466,22,5281,3239
591544,3993100,2512067081,22,3560,1522
591545,3993585,2208981938,24,3663,2280
591546,3992638,3971617940,21,2533,2532
591547,3992988,1811416112,20,2031,1853
591548,3998723,3912637588,21,2793,2791
591549,3998641,3109447668,23,1261,1048
591550,3998527,1133308841,22,1444,1984
591551,3993468,3189317429,24,1637,1365
591552,3993026,2108659854,20,412,2663
591553,1914692,60261535,25,562,855
591554,1305760,253250029,25,805,727
591555,1177198,3198087307,24,559,587
591556,2964291,1173727783,22,1227,1304
591557,3993405,331913730,21,4867,3234
591558,3992893,2574613964,22,4292,2994
591559,3993385,1931802601,20,4365,3001
591560,3993069,2229057100,21,2880,2869
591561,3993365,2939439376,21,2526,3004
591562,3993283,688337117,24,1153,1681
591563,3993338,704420181,23,5249,2891
591564,3993033,4002084536,21,4981,2801
591565,3993148,1210378823,25,3333,2321
591566,3993396,3845200357,22,3977,2868
591567,3993404,3532880567,19,1154,2974
591568,3992876,1367758305,20,1356,1927
591569,3993185,2034370149,23,623,578
591570,3998503,3344774127,22,1595,1185
591571,3992910,373221796,22,2220,1588
591572,3993372,3432851184,23,1579,1157
591573,3993186,1825386429,21,2206,1899
591574,3998542,2661943757,27,949,2412
591575,3998625,4238538098,24,1135,1436
591576,3993081,2780311889,20,2122,2920
591577,1416,156154909,20,0,1
591578,3993158,996618072,23,2387,2703
591579,3993323,1509254652,22,5834,1752
591580,3993045,111502994,25,3648,2066
591581,1593842,2346117379,22,336,1183
591582,799897,851349576,23,375,637
591583,3602845,1592028768,20,1760,2957
591584,2672165,2906405445,23,1557,2183
591585,3699618,1343904888,23,1930,2884
591586,362456,2246432189,22,214,311
591587,3998391,1640384486,25,3419,2800
591588,2629181,3626622356,22,319,1965
591589,3993190,124466583,21,2523,3218
591590,892849,4215186720,24,257,808
591591,3228924,2013273017,22,1536,2667
591592,1656809,3519763061,22,854,1407
591593,3993079,877999717,20,5108,2716
591594,3993311,824878748,23,3146,1529
591595,3993166,1571834969,22,2693,1287
591596,3993117,3144653439,24,1879,3236
591597,3993359,2930689734,22,652,2611
591598,3993188,611324297,22,3640,3349
591599,3993348,3842833842,20,1697,3230
591600,3998624,2849358380,24,2654,3373
591601,2095950,3238464017,23,82,1566
591602,803506,2162503618,24,477,675
591603,225195,3387836830,22,137,90
591604,2649045,2717502000,23,1017,2258
591605,646060,1922717844,22,364,591
591606,1381892,3090062404,22,536,1084
591607,911214,1456818697,22,274,824
591608,2836783,1523188398,24,902,1977
591609,1234218,614255744,20,562,993
591610,56630,330023837,22,38,59
591611,101119,95896187,20,36,86
591612,431000,785479421,20,130,369
591613,2245919,3986694098,22,621,1224
591614,3027630,1375119382,20,786,1326
591615,1731694,835595010,20,674,1521
591616,2746481,703773802,21,1156,2431
591617,3992782,597375776,25,1962,3497
591618,2226114,2790830431,23,1197,1077
591619,2793935,3054481515,21,1483,1947
591620,2666539,324618572,20,1126,2279
591621,702475,1336618800,20,460,546
591622,208231,1866099644,23,149,207
591623,2921064,1124797021,24,1380,2489
591624,1029906,1151486703,20,575,872
591625,838834,3752605601,25,384,743
591626,3200833,2570259064,23,1937,2654
591627,3993220,3241090961,21,3729,3176
591628,3993390,2210241771,26,1668,2979
591629,3993186,3387226905,25,3652,2581
591630,3993384,2891894423,24,2142,2690
591631,3993149,1689474886,20,2319,2906
591632,1945570,696428548,22,718,1370
591633,3446560,718893988,22,2160,2839
591634,2273944,1580092215,22,1432,1801
591635,587462,1174713509,22,448,484
591636,3993503,3096608057,20,2339,2099
591637,2843036,3798307868,25,978,1551
591638,3993433,3120491586,21,3196,2105
591639,3636558,2214257900,25,1431,2376
591640,1368540,1659812114,22,796,975
591641,2860804,671047463,22,1350,2095
591642,3945381,1001601607,21,1713,3139
591643,1625980,4292471020,20,1019,1226
591644,216047,2367471625,21,107,123
591645,1515153,2898165641,26,796,1189
591646,2591256,1517635396,28,1026,2052
591647,728801,1945516746,22,395,605
591648,3129843,594105747,22,1320,2433
591649,1770690,2853544416,24,870,1237
591650,338964,1851596727,21,239,240
591651,2022990,2634266535,21,566,907
591652,1056853,1337124452,19,444,830
591653,3993005,3870261099,27,3822,2738
591654,3993195,977408519,23,1635,2417
591655,2622453,1359177662,23,579,1993
591656,3993318,1401763733,22,2243,3101
591657,1018358,3312133680,20,307,700
591658,36456,2532783080,22,26,8
591659,1735677,882251941,23,1354,1246
591660,3993326,3541526960,23,3477,3087
591661,3992858,1207748284,20,3184,2995
591662,3993537,3990809836,23,764,2952
591663,3993339,2333063409,24,5581,2957
591664,3993338,372970417,22,2173,2873
591665,3992910,2964520794,22,1506,2903
591666,3992577,1097858614,25,1074,2410
591667,3993289,2814522740,22,5004,2954
591668,3993351,3679760060,26,2155,2749
591669,3992984,1997560813,23,1967,2884
591670,2339531,1864925977,21,124,1108
591671,2288388,3424825841,23,1468,1474
591672,2865277,3766523121,22,1722,2083
591673,3993214,1245531025,26,3685,2492
591674,3998405,3805822468,22,1888,2395
591675,2800950,240414352,22,792,2099
591676,2153929,2158571045,22,1245,991
591677,3993139,1767086448,23,2042,3113
591678,3993465,3377956709,22,2633,2489
591679,1789074,1520313645,22,310,1321
591680,3993239,557358905,19,3823,3007
591681,3980254,1555097363,20,223,2354
591682,3259176,779307534,21,1074,971
591683,3993219,1347295161,26,2101,2936
591684,3993262,3268179727,23,2175,3015
591685,2987291,2490900389,22,975,1898
591686,921958,2147668880,22,294,536
591687,3993413,1413815373,22,2981,2855
591688,3993493,3813663345,24,1949,3093
591689,3993036,1188584278,23,1371,2288
591690,487037,3692460571,24,168,320
591691,548054,234622445,26,285,384
591692,128276,1410499086,21,54,95
591693,3993411,3789923025,20,7519,1171
591694,3993054,512865906,24,3288,2132
591695,3993070,1347495224,23,2876,2387
591696,3993303,4172994408,28,995,1306
591697,3993075,2253323876,23,2244,2140
591698,3993170,889661549,22,1824,1385
591699,3992970,1077362853,28,2911,2562
591700,1464,1482976287,22,0,1
591701,3993178,702503136,22,5459,3421
591702,3993227,2519725792,21,3089,3022
591703,3998600,3986159529,25,794,2190
591704,3993378,1740844064,19,4407,3271
591705,3993375,1870039672,24,1895,2992
591706,3993506,3950287677,22,3900,3210
591707,3993421,2643074272,19,1123,2274
591708,3993208,2499517258,20,458,2469
591709,3993104,3354959625,22,2648,3060
591710,3998418,1240362413,23,693,2276
591711,3993203,681752658,22,3051,2703
591712,3993485,1815347148,22,1899,2885
591713,3993251,2817921651,21,1972,3069
591714,3993031,2929359986,22,2400,2423
591715,3992973,2664004707,25,2307,2337
591716,3993075,1712551840,22,1934,3121
591717,3993281,1576999704,23,1275,2285
591718,3998740,2924563312,23,1161,1689
591719,3993006,1911097189,20,716,1196
591720,3993477,3374517965,21,1776,3158
591721,2794789,302596220,23,395,950
591722,75945,3851912335,21,43,72
591723,3162487,1725755371,22,1415,2471
591724,159426,573150284,24,71,137
591725,3993187,1152214225,21,1541,2941
591726,594304,851035232,22,330,437
591727,965494,3846270472,20,262,432
591728,2032391,2492073281,25,438,1185
591729,538947,767889374,22,200,489
591730,1082862,603442216,24,426,761
591731,2427995,403988959,20,869,1964
591732,1446352,405159177,21,493,1193
591733,1037713,649900377,20,412,922
591734,2402911,203856442,22,682,2054
591735,2692200,2299472909,24,736,2145
591736,1911393,230532167,21,661,1545
591737,3993166,2414824280,22,2195,3253
591738,3421500,1536572228,23,984,2261
591739,1069050,522026984,22,1007,614
591740,3993469,3061316148,23,2719,2949
591741,2081148,780427217,23,124,1549
591742,1501494,725517153,19,628,1214
591743,1218172,4110300703,23,404,1016
591744,1663649,2384543113,22,497,1326
591745,2136301,3363014493,21,799,1812
591746,3993015,919601433,23,1651,3199
591747,1339523,1310428725,22,332,1004
591748,3518682,4196987566,21,1266,2711
591749,753572,345797721,26,263,677
591750,3998724,1257401204,23,1335,3397
591751,2358153,433519295,21,730,1902
591752,284492,2978675080,20,118,263
591753,1601016,1371660020,21,519,1245
591754,1268009,2121445040,24,660,484
591755,77457,1264265800,22,32,75
591756,3993156,2054169622,26,1846,3422
591757,2845833,1281164125,21,809,2428
591758,477126,504839146,25,142,379
591759,1551929,2451798112,23,512,1418
591760,615208,1251014216,21,315,504
591761,117184,3241079430,20,46,115
591762,3945080,4106092128,27,977,3026
591763,1172357,1173169928,21,459,982
591764,2182159,2749156833,26,705,1980
591765,1858107,2945818804,22,727,1582
591766,997849,3511965464,21,431,906
591767,2369076,1804235060,24,641,1994
591768,1745714,3373413641,23,600,1533
591769,3993000,965821480,23,1316,3112
591770,2855454,47971462,24,826,2378
591771,2969764,1472160069,23,1170,2453
591772,909319,990233713,25,461,765
591773,964205,1606111019,24,431,719
591774,934874,416539312,22,430,724
591775,3993262,2630031062,25,3341,3501
591776,3993530,58682439,21,2046,2869
591777,3993358,2345762213,20,3015,2521
591778,3993510,3065541537,23,2135,2783
591779,3532424,856481476,22,288,2347
591780,3993142,3972035604,23,4109,2836
591781,3993494,4114875972,22,1134,2430
591782,3998405,2889949643,23,1390,1260
591783,3572901,1193494606,25,770,1583
591784,844487,2710546327,22,363,324
591785,1701637,185225551,23,811,666
591786,558031,51881076,24,669,361
591787,3998723,2335532151,24,5446,2988
591788,3993259,2861984868,28,1986,3043
591789,3993448,1366830305,24,3787,2970
591790,3993473,3375672060,25,1845,2337
591791,3998432,1158314858,20,2291,2748
591792,3993021,47012619,20,2537,2499
591793,3998329,1360518519,25,1034,1612
591794,3993268,1992831200,22,2654,2381
591795,3992992,160084524,22,1269,2616
591796,3366249,2373208472,22,1364,1902
591797,3993001,1830360951,20,5823,3077
591798,3993201,1076595490,23,854,2535
591799,3719593,2581204952,28,224,2364
591800,2928657,705909966,21,2189,2103
591801,3993249,2753480914,21,2329,1887
591802,3993250,460871126,22,4179,3118
591803,3998563,1228888082,22,5448,2769
591804,3993385,2348935203,20,3667,3039
591805,3993026,246391316,21,1012,2202
591806,3993427,1818135003,21,3845,2818
591807,3998517,3672551704,22,1326,2230
591808,3998610,2780765977,21,2451,2327
591809,3993281,2483032841,21,895,2435
591810,3573074,61084141,22,523,2280
591811,1625485,2927895936,24,1112,1173
591812,3993084,3332092961,23,2711,2226
591813,3351477,1393423491,26,1048,2393
591814,3651380,3708531232,24,2005,2491
591815,3993314,3079501833,21,3745,2679
591816,3993365,2270027660,23,3210,2233
591817,3998642,4199927476,20,2169,2472
591818,3998396,3025768563,21,2977,1822
591819,3993087,3772231212,21,1594,1989
591820,3993340,3700292683,21,3296,2745
591821,3993062,905631869,21,901,1668
591822,3993435,443706765,21,269,1120
591823,3992777,2307285298,21,2862,2222
591824,3992996,612605567,21,3074,2305
591825,3992878,613112470,24,3944,2200
591826,3998546,3847685759,22,3345,2744
591827,3993518,873317316,23,2555,2437
591828,3998650,1552424003,22,1063,2520
591829,3993249,3325360692,22,3807,2046
591830,3993246,257940627,27,1072,2660
591831,3992894,3893949786,23,3623,3114
591832,3998456,1618940019,21,4000,2881
591833,3993175,1108581768,23,2855,2397
591834,3993205,3362473235,22,3999,3144
591835,3993313,766776233,22,3769,2616
591836,3992803,3135981833,23,1524,2475
591837,3993215,2278714557,21,945,2077
591838,3993266,1662391217,21,3994,2824
591839,3993217,2705571252,23,3343,3001
591840,3993164,2735605348,22,1705,2251
591841,3993559,1584573353,22,8618,1119
591842,3993007,3636195979,21,7885,2278
591843,3993352,698232156,23,4783,1766
591844,3993137,1364447338,21,2922,1984
591845,3993361,2730862220,24,4996,2533
591846,3993268,3818738788,28,6164,2492
591847,3993415,733282609,21,3902,2839
591848,3993453,575393638,20,7292,2793
591849,3993148,4132244733,21,5165,2810
591850,3993350,704548326,22,4468,2987
591851,3993312,89487862,24,3544,2214
591852,3993087,1312301109,22,3095,2011
591853,3993130,3041476471,21,3657,2905
591854,3993311,4026492428,24,2960,1638
591855,3992606,2310698237,21,4988,3293
591856,3993514,4173327076,20,3189,2427
591857,3998609,2997873966,25,2614,2887
591858,3992806,1490223652,22,1806,2809
591859,3993108,152466765,23,2967,2792
591860,3993555,1343096248,20,4564,3004
591861,3992698,434418453,22,4314,3368
591862,3993167,3367563968,19,1310,2002
591863,1416,3037577182,25,0,1
591864,3993189,1779604038,21,1457,2720
591865,3993180,3033953856,23,3591,2559
591866,3993412,394219348,23,3515,2813
591867,3993420,16224897,22,3410,2887
591868,3993184,3406434471,20,2883,2266
591869,3992969,4217683899,21,1383,1205
591870,3993000,3250054883,24,1233,1263
591871,3993095,1951598733,25,2128,2092
591872,3993058,2940922222,23,2502,2803
591873,3992949,688235051,22,3129,3011
591874,3992972,1710133656,23,2112,2725
591875,3993390,1048076601,22,4459,3416
591876,3998747,1719778004,23,2938,2707
591877,3993389,2926896188,23,3851,3132
591878,3998281,1821972074,24,2740,2743
591879,3993294,614984322,23,1037,1887
591880,3993457,2951776649,22,1459,2236
591881,3993380,2674826142,23,2126,2160
591882,3993329,3850608763,25,2881,2272
591883,3998630,652731314,23,1170,1566
591884,3993174,2477748829,24,3292,3171
591885,3993253,2860523255,23,1260,2031
591886,3993255,1654230281,22,2711,2800
591887,3998542,827389212,20,3343,2263
591888,3993391,1801015552,20,1696,2290
591889,3993558,1969331686,23,2397,2537
591890,3992988,1877333606,19,2029,2688
591891,3993168,2280263379,23,1704,2756
591892,3993328,475150236,24,585,2128
591893,3993385,2186917208,22,338,656
591894,3993413,1878836228,22,544,644
591895,3993510,2809405162,22,244,1113
591896,3993353,4049416737,20,500,1992
591897,3993007,1612765552,21,2686,2111
591898,3810407,2910872356,26,1323,2672
591899,3993012,1712024420,23,3720,3328
591900,3993518,514165929,27,1493,2883
591901,3992933,3457156696,25,2014,3375
591902,2562842,1673001384,24,955,2005
591903,836669,4001133376,22,459,660
591904,3993070,10027980,22,3428,3007
591905,3993558,2385862796,21,864,2857
591906,3998709,904993323,21,2166,2843
591907,3000154,3859384919,23,1160,2370
591908,1923715,1622165876,23,738,1288
591909,3993163,379648954,24,3963,2886
591910,3998650,1418322485,23,2167,2428
591911,3993294,1352923272,22,3201,2573
591912,3992833,20729427,21,3851,2821
591913,3993338,2716883752,21,3115,2703
591914,3992788,3323716940,21,1634,2842
591915,3993175,2971180738,20,3935,2538
591916,3993168,77538837,22,1076,2527
591917,3993354,2018335508,22,1997,2200
591918,3460663,3435364840,23,287,2103
591919,3993064,2743298204,24,4382,3319
591920,3993508,1493371066,22,954,2465
591921,2293798,2269186953,20,1004,1731
591922,3993452,2243766951,22,3769,2937
591923,3281085,266464078,22,1238,2339
591924,3505799,1716115480,22,1977,2520
591925,3990515,186841004,26,1920,2528
591926,596220,1422193246,24,290,335
591927,399928,3137718135,21,292,295
591928,3993033,2059548366,23,3097,2726
591929,2281562,2218227490,24,528,1655
591930,3993281,2462281750,25,2469,2703
591931,1684326,4283132929,20,1138,1192
591932,3993379,4137069306,25,3788,2706
591933,2463763,2893568874,21,460,1878
591934,3993338,3486460409,23,3167,2769
591935,3993102,825862818,20,3423,2972
591936,2171712,588899115,22,102,1634
591937,3993078,3702070388,21,2482,3168
591938,3993457,1939263228,23,4984,2796
591939,3993146,906920840,21,3099,2938
591940,3993227,2397929182,25,970,2657
591941,3993307,2741331095,20,4286,2669
591942,3993324,3410513931,22,1608,1750
591943,3993357,165793142,20,4571,2550
591944,3993403,681517790,22,3246,2794
591945,3992953,3935615628,24,5739,3025
591946,3993316,3272874565,24,4653,2877
591947,3992760,1079200550,20,2742,2241
591948,3993084,3901502269,23,2548,2739
591949,3993574,1554389136,21,2288,1910
591950,3993156,1244152926,21,3623,2675
591951,3998415,478286978,23,2640,2831
591952,3992811,1842131537,23,4824,2798
591953,3993350,2911769130,21,4675,2869
591954,3993454,9116130,24,2886,2400
591955,3993352,2271442933,23,2635,2701
591956,3993179,2785267557,21,2355,2547
591957,3993522,2971813812,24,3201,2169
591958,3992832,531246748,21,1163,1671
591959,3993454,4052901821,22,1600,1930
591960,3993259,1278175532,20,1176,1999
591961,3993349,2856578469,22,1172,1667
591962,3993501,3984712772,22,6365,3097
591963,3993332,246919266,27,5038,2875
591964,3992697,570760795,23,2290,3033
591965,3993195,2332791511,22,4258,2734
591966,3993253,3832971784,27,3094,2476
591967,3998542,1927015692,24,2797,2744
591968,3993280,2325288339,20,4296,3174
591969,3993061,307008664,24,3417,2685
591970,3992971,3396561050,22,3014,2971
591971,3998661,775928625,22,1064,2589
591972,3993265,248865248,22,3319,2940
591973,3998450,3557639664,20,1927,2259
591974,3993191,3680913573,24,1566,1354
591975,1412,2339632152,20,0,1
591976,3993032,53400876,21,4517,2877
591977,3993344,852113282,23,6961,899
591978,3993094,1987290856,22,4402,1870
591979,3993345,159433000,24,2911,2307
591980,3993367,1333217153,25,2958,2148
591981,3993373,1098354759,26,1909,2478
591982,3993416,2427612207,23,2174,1786
591983,3992703,2509032598,22,2260,1990
591984,3993097,2914618875,25,2222,1891
591985,3993354,2552353093,25,2380,1655
591986,3998766,553652972,21,3512,2627
591987,3998718,1628023616,21,3343,3030
591988,3993210,3083274364,22,2126,2631
591989,3993311,2709154468,23,5029,2912
591990,3993269,1181551304,21,3446,3313
591991,3993390,1465268832,21,5846,2887
591992,3992667,1218219394,24,5264,3061
591993,3993369,4223431300,27,3234,2853
591994,3993413,3667414689,21,3137,1961
591995,3993273,1425541959,23,3291,2707
591996,3992999,2467394653,24,2453,1749
591997,3992881,2695730372,21,2050,2442
591998,3992830,606115392,24,3521,3106
591999,3965877,4064889586,24,2140,2882
592000,3992986,4156782565,22,3487,2739
592001,3993451,558521880,19,4524,3000
592002,3993251,4006994808,22,3199,2926
592003,3992819,3482852641,21,3124,2779
592004,3998562,2565414344,23,3496,2669
592005,3993004,3062119443,23,1577,2950
592006,3993033,1482430054,23,1527,2964
592007,3993216,237133709,20,2627,2777
592008,3993336,1267943508,21,2362,2865
592009,3993363,3306103098,24,1502,1902
592010,3993428,1932856452,22,3231,2885
592011,3993154,3590935882,22,2026,2377
592012,3993084,1176699804,21,2407,2195
592013,3993197,1913897768,21,1097,2211
592014,3998719,3513242986,26,1344,2393
592015,3992852,1932888476,21,817,1494
592016,3993386,3742772177,21,2573,2938
592017,3993012,1275913234,22,372,1096
592018,3992937,1522683845,21,3353,2920
592019,3998368,1995659592,24,5193,2775
592020,3993576,1095103440,24,2339,3159
592021,3993155,2415034103,22,2079,3115
592022,3998638,70532695,23,1546,2545
592023,3993047,3747603293,23,2076,2142
592024,3998727,3812224353,21,4509,2683
592025,3998758,2319786814,22,1448,3218
592026,3993341,3191794595,19,1316,2110
592027,3993254,1179722960,24,3052,3097
